Kecamatan,Periode_Idx,Step,Tanggal,PD_Prediksi,Total_Gizi_Kkal,Target_Beras,Target_Daging,Target_Telur,Target_Susu,Target_Sayur,Target_Minyak,Target_Ikan,Target_Buah,Biaya_Harian_IDR,Biaya_Semester_IDR,Jenjang
Rumbai Barat,15,2,2027-01-01,2266,1121670.0,345.1292,53.8402,57.8926,91.9402,224.334,12.6886,112.167,179.4672,27103488.6,3252418632.0,SD
Rumbai Barat,16,3,2028-07-01,1726,854370.0,262.8831,41.0098,44.0965,70.0303,170.874,9.6648,85.437,136.6992,20644581.9,2477349828.0,SD
Rumbai Barat,17,4,2028-01-01,1373,679635.0,209.1185,32.6225,35.0779,55.7078,135.927,7.6882,67.9635,108.7416,16422369.799999999,1970684375.9999998,SD
Rumbai Barat,18,5,2029-07-01,1120,554400.0,170.5846,26.6112,28.6142,45.4426,110.88,6.2715,55.44,88.704,13396249.6,1607549952.0,SD
Rumbai Barat,19,6,2029-01-01,937,463815.0,142.7123,22.2631,23.9388,38.0176,92.763,5.2468,46.3815,74.2104,11207394.8,1344887376.0,SD
Rumbai Timur,14,1,2027-07-01,3518,1741410.0,535.8185,83.5877,89.8792,142.7385,348.282,19.6992,174.141,278.6256,42078579.7,5049429564.0,SD
Rumbai Timur,15,2,2027-01-01,3814,1887930.0,580.9015,90.6206,97.4415,154.7484,377.586,21.3567,188.793,302.0688,45619010.1,5474281212.0,SD
Rumbai Timur,16,3,2028-07-01,4276,2116620.0,651.2677,101.5978,109.2449,173.4934,423.324,23.9437,211.662,338.6592,51144973.300000004,6137396796.000001,SD
Rumbai Timur,17,4,2028-01-01,4566,2260170.0,695.4369,108.4882,116.6539,185.2598,452.034,25.5675,226.017,361.6272,54613642.7,6553637124.0,SD
Rumbai Timur,18,5,2029-07-01,4865,2408175.0,740.9769,115.5924,124.2929,197.3914,481.635,27.2418,240.8175,385.308,58189960.6,6982795272.0,SD
Rumbai Timur,19,6,2029-01-01,5098,2523510.0,776.4646,121.1285,130.2457,206.8451,504.702,28.5465,252.351,403.7616,60976862.6,7317223512.0,SD
Sail,14,1,2027-07-01,3371,1668645.0,513.4292,80.095,86.1236,136.7742,333.729,18.8761,166.8645,266.9832,40320325.1,4838439012.0,SD
Sail,15,2,2027-01-01,3686,1824570.0,561.4062,87.5794,94.1714,149.5549,364.914,20.6399,182.457,291.9312,44088021.4,5290562568.0,SD
Sail,16,3,2028-07-01,4286,2121570.0,652.7908,101.8354,109.5004,173.8992,424.314,23.9997,212.157,339.4512,51264584.800000004,6151750176.000001,SD
Sail,17,4,2028-01-01,4600,2277000.0,700.6154,109.296,117.5226,186.6393,455.4,25.7579,227.7,364.32,55020312.0,6602437440.0,SD
Sail,18,5,2029-07-01,4957,2453715.0,754.9892,117.7783,126.6434,201.1242,490.743,27.757,245.3715,392.5944,59290366.7,7114844004.0,SD
Sail,19,6,2029-01-01,5182,2565090.0,789.2585,123.1243,132.3917,210.2533,513.018,29.0169,256.509,410.4144,61981576.300000004,7437789156.000001,SD
Senapelan,14,1,2027-07-01,4150,2054250.0,632.0769,98.604,106.0258,168.3811,410.85,23.2381,205.425,328.68,49637888.699999996,5956546643.999999,SD
Senapelan,15,2,2027-01-01,4497,2226015.0,684.9277,106.8487,114.8911,182.4602,445.203,25.1812,222.6015,356.1624,53788333.4,6454600008.0,SD
Senapelan,16,3,2028-07-01,4896,2423520.0,745.6985,116.329,125.0849,198.6492,484.704,27.4154,242.352,387.7632,58560755.900000006,7027290708.000001,SD
Senapelan,17,4,2028-01-01,5239,2593305.0,797.94,124.4786,133.848,212.566,518.661,29.336,259.3305,414.9288,62663346.5,7519601580.0,SD
Senapelan,18,5,2029-07-01,5576,2760120.0,849.2677,132.4858,142.4578,226.2393,552.024,31.2231,276.012,441.6192,66694191.699999996,8003303003.999999,SD
Senapelan,19,6,2029-01-01,5911,2925945.0,900.2908,140.4454,151.0165,239.8316,585.189,33.0989,292.5945,468.1512,70701106.7,8484132804.0,SD
Sukajadi,14,1,2027-07-01,3957,1958715.0,602.6815,94.0183,101.095,160.5504,391.743,22.1574,195.8715,313.3944,47329427.2,5679531264.0,SD
Sukajadi,15,2,2027-01-01,3799,1880505.0,578.6169,90.2642,97.0583,154.1398,376.101,21.2727,188.0505,300.8808,45439597.0,5452751640.0,SD
Sukajadi,16,3,2028-07-01,3623,1793385.0,551.8108,86.0825,92.5618,146.9988,358.677,20.2872,179.3385,286.9416,43334480.5,5200137660.0,SD
Sukajadi,17,4,2028-01-01,3510,1737450.0,534.6,83.3976,89.6748,142.4139,347.49,19.6544,173.745,277.992,41982888.599999994,5037946631.999999,SD
Sukajadi,18,5,2029-07-01,3417,1691415.0,520.4354,81.1879,87.2988,138.6406,338.283,19.1337,169.1415,270.6264,40870521.5,4904462580.0,SD
Sukajadi,19,6,2029-01-01,3349,1657755.0,510.0785,79.5722,85.5615,135.8816,331.551,18.7529,165.7755,265.2408,40057175.199999996,4806861023.999999,SD
Tenayan Raya,14,1,2027-07-01,10811,5351445.0,1646.5985,256.8694,276.2036,438.643,1070.289,60.5367,535.1445,856.2312,129309699.39999999,15517163927.999998,SD
Tenayan Raya,15,2,2027-01-01,11246,5566770.0,1712.8523,267.205,287.3172,456.2926,1113.354,62.9725,556.677,890.6832,134512708.1,16141524972.0,SD
Tenayan Raya,16,3,2028-07-01,11656,5769720.0,1775.2985,276.9466,297.792,472.9279,1153.944,65.2683,576.972,923.1552,139416692.9,16730003148.0,SD
Tenayan Raya,17,4,2028-01-01,11874,5877630.0,1808.5015,282.1262,303.3615,481.773,1175.526,66.489,587.763,940.4208,142024165.5,17042899860.0,SD
Tenayan Raya,18,5,2029-07-01,12009,5944455.0,1829.0631,285.3338,306.8106,487.2504,1188.891,67.245,594.4455,951.1128,143638894.8,17236667376.0,SD
Tenayan Raya,19,6,2029-01-01,12085,5982075.0,1840.6385,287.1396,308.7523,490.334,1196.415,67.6705,598.2075,957.132,144547930.4,17345751648.0,SD
Tuahmadani,14,1,2027-07-01,16148,7993260.0,2459.4646,383.6765,412.5554,655.1852,1598.652,90.4215,799.326,1278.9216,193145221.2,23177426544.0,SD
Tuahmadani,15,2,2027-01-01,14709,7280955.0,2240.2938,349.4858,375.7912,596.7996,1456.191,82.3637,728.0955,1164.9528,175933422.7,21112010724.0,SD
Tuahmadani,16,3,2028-07-01,13799,6830505.0,2101.6938,327.8642,352.5422,559.8775,1366.101,77.2682,683.0505,1092.8808,165048972.7,19805876724.0,SD
Tuahmadani,17,4,2028-01-01,13297,6582015.0,2025.2354,315.9367,339.7169,539.5094,1316.403,74.4572,658.2015,1053.1224,159044583.3,19085349996.0,SD
Tuahmadani,18,5,2029-07-01,13012,6440940.0,1981.8277,309.1651,332.4356,527.9459,1288.188,72.8613,644.094,1030.5504,155635715.70000002,18676285884.000004,SD
Tuahmadani,19,6,2029-01-01,12852,6361740.0,1957.4585,305.3635,328.3479,521.4541,1272.348,71.9654,636.174,1017.8784,153721967.9,18446636148.0,SD
Binawidya,14,1,2027-07-01,4949,3192105.0,982.1862,153.221,164.7538,261.648,638.421,36.1098,319.2105,510.7368,77132458.3,9255894996.0,SMP
Binawidya,15,2,2027-01-01,4743,3059235.0,941.3031,146.8433,157.896,250.757,611.847,34.6067,305.9235,489.4776,73921858.6,8870623032.0,SMP
Binawidya,16,3,2028-07-01,4598,2965710.0,912.5262,142.3541,153.0689,243.091,593.142,33.5488,296.571,474.5136,71661967.6,8599436112.0,SMP
Binawidya,17,4,2028-01-01,4532,2923140.0,899.4277,140.3107,150.8717,239.6016,584.628,33.0672,292.314,467.7024,70633318.7,8475998244.0,SMP
Binawidya,18,5,2029-07-01,4495,2899275.0,892.0846,139.1652,149.64,237.6455,579.855,32.7972,289.9275,463.884,70056660.1,8406799211.999999,SMP
Binawidya,19,6,2029-01-01,4477,2887665.0,888.5123,138.6079,149.0408,236.6939,577.533,32.6659,288.7665,462.0264,69776121.6,8373134591.999999,SMP
Bukit Raya,14,1,2027-07-01,3168,2043360.0,628.7262,98.0813,105.4637,167.4885,408.672,23.1149,204.336,326.9376,49374750.800000004,5924970096.000001,SMP
Bukit Raya,15,2,2027-01-01,3207,2068515.0,636.4662,99.2887,106.7621,169.5504,413.703,23.3995,206.8515,330.9624,49982582.3,5997909876.0,SMP
Bukit Raya,16,3,2028-07-01,3321,2142045.0,659.0908,102.8182,110.5572,175.5775,428.409,24.2313,214.2045,342.7272,51759333.5,6211120020.0,SMP
Bukit Raya,17,4,2028-01-01,3421,2206545.0,678.9369,105.9142,113.8862,180.8643,441.309,24.9609,220.6545,353.0472,53317875.800000004,6398145096.000001,SMP
Bukit Raya,18,5,2029-07-01,3575,2305875.0,709.5,110.682,119.0129,189.0061,461.175,26.0846,230.5875,368.94,55718033.5,6686164020.0,SMP
Bukit Raya,19,6,2029-01-01,3738,2411010.0,741.8492,115.7285,124.4392,197.6238,482.202,27.2739,241.101,385.7616,58258466.800000004,6991016016.000001,SMP
Kulim,14,1,2027-07-01,899,579855.0,178.4169,27.833,29.928,47.5291,115.971,6.5594,57.9855,92.7768,14011326.2,1681359144.0,SMP
Kulim,15,2,2027-01-01,888,572760.0,176.2338,27.4925,29.5618,46.9475,114.552,6.4792,57.276,91.6416,13839893.0,1660787160.0,SMP
Kulim,16,3,2028-07-01,863,556635.0,171.2723,26.7185,28.7295,45.6258,111.327,6.2968,55.6635,89.0616,13450256.4,1614030768.0,SMP
Kulim,17,4,2028-01-01,850,548250.0,168.6923,26.316,28.2968,44.9385,109.65,6.2019,54.825,87.72,13247644.1,1589717292.0,SMP
Kulim,18,5,2029-07-01,830,535350.0,164.7231,25.6968,27.631,43.8811,107.07,6.056,53.535,85.656,12935935.5,1552312260.0,SMP
Kulim,19,6,2029-01-01,817,526965.0,162.1431,25.2943,27.1982,43.1939,105.393,5.9611,52.6965,84.3144,12733322.4,1527998688.0,SMP
Lima Puluh,14,1,2027-07-01,4041,2606445.0,801.9831,125.1094,134.5262,213.643,521.289,29.4847,260.6445,417.0312,62980865.2,7557703824.0,SMP
Lima Puluh,15,2,2027-01-01,4075,2628375.0,808.7308,126.162,135.6581,215.4406,525.675,29.7327,262.8375,420.54,63510766.9,7621292028.0,SMP
Lima Puluh,16,3,2028-07-01,4135,2667075.0,820.6385,128.0196,137.6555,218.6127,533.415,30.1705,266.7075,426.732,64445894.0,7733507280.0,SMP
Lima Puluh,17,4,2028-01-01,4163,2685135.0,826.1954,128.8865,138.5876,220.093,537.027,30.3748,268.5135,429.6216,64882287.699999996,7785874523.999999,SMP
Lima Puluh,18,5,2029-07-01,4190,2702550.0,831.5538,129.7224,139.4865,221.5205,540.51,30.5718,270.255,432.408,65303094.4,7836371328.0,SMP
Lima Puluh,19,6,2029-01-01,4207,2713515.0,834.9277,130.2487,140.0524,222.4193,542.703,30.6959,271.3515,434.1624,65568046.400000006,7868165568.000001,SMP
Marpoyan Damai,14,1,2027-07-01,4728,3049560.0,938.3262,146.3789,157.3966,249.9639,609.912,34.4973,304.956,487.9296,73688075.19999999,8842569023.999998,SMP
Marpoyan Damai,15,2,2027-01-01,4541,2928945.0,901.2138,140.5894,151.1714,240.0775,585.789,33.1329,292.8945,468.6312,70773598.9,8492831868.000001,SMP
Marpoyan Damai,16,3,2028-07-01,4402,2839290.0,873.6277,136.2859,146.544,232.7287,567.858,32.1187,283.929,454.2864,68607211.1,8232865331.999999,SMP
Marpoyan Damai,17,4,2028-01-01,4328,2791560.0,858.9415,133.9949,144.0805,228.8164,558.312,31.5787,279.156,446.6496,67453889.1,8094466691.999999,SMP
Marpoyan Damai,18,5,2029-07-01,4283,2762535.0,850.0108,132.6017,142.5825,226.4373,552.507,31.2504,276.2535,442.0056,66752546.7,8010305604.0,SMP
Marpoyan Damai,19,6,2029-01-01,4258,2746410.0,845.0492,131.8277,141.7502,225.1156,549.282,31.068,274.641,439.4256,66362908.6,7963549032.0,SMP
Payung Sekaki,14,1,2027-07-01,3851,2483895.0,764.2754,119.227,128.201,203.598,496.779,28.0984,248.3895,397.4232,60019627.7,7202355324.0,SMP
Payung Sekaki,15,2,2027-01-01,3961,2554845.0,786.1062,122.6326,131.863,209.4135,510.969,28.901,255.4845,408.7752,61734029.5,7408083540.0,SMP
Payung Sekaki,16,3,2028-07-01,4069,2624505.0,807.54,125.9762,135.4583,215.1234,524.901,29.689,262.4505,419.9208,63417248.9,7610069868.0,SMP
Payung Sekaki,17,4,2028-01-01,4137,2668365.0,821.0354,128.0815,137.7221,218.7184,533.673,30.1851,266.8365,426.9384,64477062.099999994,7737247451.999999,SMP
Payung Sekaki,18,5,2029-07-01,4185,2699325.0,830.5615,129.5676,139.32,221.2561,539.865,30.5354,269.9325,431.892,65225166.2,7827019944.0,SMP
Payung Sekaki,19,6,2029-01-01,4213,2717385.0,836.1185,130.4345,140.2521,222.7365,543.477,30.7396,271.7385,434.7816,65661561.599999994,7879387391.999999,SMP
Pekanbaru Kota,14,1,2027-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMP
Pekanbaru Kota,15,2,2027-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMP
Pekanbaru Kota,16,3,2028-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMP
Pekanbaru Kota,17,4,2028-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMP
Pekanbaru Kota,18,5,2029-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMP
Pekanbaru Kota,19,6,2029-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SMP
Rumbai,14,1,2027-07-01,2976,1919520.0,590.6215,92.137,99.072,157.3377,383.904,21.714,191.952,307.1232,46382344.5,5565881340.0,SMP
Rumbai,15,2,2027-01-01,3068,1978860.0,608.88,94.9853,102.1347,162.2016,395.772,22.3853,197.886,316.6176,47816205.0,5737944600.0,SMP
Rumbai,16,3,2028-07-01,3200,2064000.0,635.0769,99.072,106.529,169.1803,412.8,23.3484,206.4,330.24,49873482.7,5984817924.0,SMP
Rumbai,17,4,2028-01-01,3351,2161395.0,665.0446,103.747,111.5559,177.1635,432.279,24.4502,216.1395,345.8232,52226895.300000004,6267227436.000001,SMP
Rumbai,18,5,2029-07-01,3532,2278140.0,700.9662,109.3507,117.5814,186.7328,455.628,25.7708,227.814,364.5024,55047856.6,6605742792.0,SMP
Rumbai,19,6,2029-01-01,3693,2381985.0,732.9185,114.3353,122.9412,195.2447,476.397,26.9455,238.1985,381.1176,57557122.6,6906854712.0,SMP
Rumbai Barat,14,1,2027-07-01,861,555345.0,170.8754,26.6566,28.663,45.5201,111.069,6.2822,55.5345,88.8552,13419091.1,1610290932.0,SMP
Rumbai Barat,15,2,2027-01-01,761,490845.0,151.0292,23.5606,25.3339,40.2332,98.169,5.5525,49.0845,78.5352,11860540.7,1423264884.0,SMP
Rumbai Barat,16,3,2028-07-01,572,368940.0,113.52,17.7091,19.0421,30.241,73.788,4.1735,36.894,59.0304,8914883.8,1069786056.0000001,SMP
Rumbai Barat,17,4,2028-01-01,464,299280.0,92.0862,14.3654,15.4467,24.5311,59.856,3.3855,29.928,47.8848,7231649.6,867797952.0,SMP
Rumbai Barat,18,5,2029-07-01,330,212850.0,65.4923,10.2168,10.9858,17.4467,42.57,2.4078,21.285,34.056,5143202.3,617184276.0,SMP
Rumbai Barat,19,6,2029-01-01,232,149640.0,46.0431,7.1827,7.7234,12.2656,29.928,1.6928,14.964,23.9424,3615828.1,433899372.0,SMP
Rumbai Timur,14,1,2027-07-01,1101,710145.0,218.5062,34.087,36.6526,58.2086,142.029,8.0333,71.0145,113.6232,17159599.700000003,2059151964.0000005,SMP
Rumbai Timur,15,2,2027-01-01,1095,706275.0,217.3154,33.9012,36.4529,57.8914,141.255,7.9895,70.6275,113.004,17066082.7,2047929924.0,SMP
Rumbai Timur,16,3,2028-07-01,1093,704985.0,216.9185,33.8393,36.3863,57.7857,140.997,7.9749,70.4985,112.7976,17034914.6,2044189752.0000002,SMP
Rumbai Timur,17,4,2028-01-01,1089,702405.0,216.1246,33.7154,36.2532,57.5742,140.481,7.9458,70.2405,112.3848,16972567.5,2036708100.0,SMP
Rumbai Timur,18,5,2029-07-01,1087,701115.0,215.7277,33.6535,36.1866,57.4684,140.223,7.9312,70.1115,112.1784,16941397.4,2032967687.9999998,SMP
Rumbai Timur,19,6,2029-01-01,1084,699180.0,215.1323,33.5606,36.0867,57.3098,139.836,7.9093,69.918,111.8688,16894637.5,2027356500.0,SMP
Sail,14,1,2027-07-01,1050,677250.0,208.3846,32.508,34.9548,55.5123,135.45,7.6612,67.725,108.36,16364736.0,1963768320.0,SMP
Sail,15,2,2027-01-01,1053,679185.0,208.98,32.6009,35.0547,55.6709,135.837,7.6831,67.9185,108.6696,16411495.9,1969379508.0,SMP
Sail,16,3,2028-07-01,1072,691440.0,212.7508,33.1891,35.6872,56.6754,138.288,7.8217,69.144,110.6304,16707614.2,2004913704.0,SMP
Sail,17,4,2028-01-01,1079,695955.0,214.14,33.4058,35.9203,57.0455,139.191,7.8728,69.5955,111.3528,16816712.3,2018005476.0,SMP
Sail,18,5,2029-07-01,1092,704340.0,216.72,33.8083,36.353,57.7328,140.868,7.9676,70.434,112.6944,17019322.8,2042318736.0,SMP
Sail,19,6,2029-01-01,1099,708855.0,218.1092,34.025,36.5861,58.1029,141.771,8.0187,70.8855,113.4168,17128420.9,2055410507.9999998,SMP
Senapelan,14,1,2027-07-01,1723,1111335.0,341.9492,53.3441,57.3592,91.093,222.267,12.5717,111.1335,177.8136,26853755.700000003,3222450684.0000005,SMP
Senapelan,15,2,2027-01-01,1700,1096500.0,337.3846,52.632,56.5935,89.877,219.3,12.4038,109.65,175.44,26495285.4,3179434248.0,SMP
Senapelan,16,3,2028-07-01,1656,1068120.0,328.6523,51.2698,55.1288,87.5508,213.624,12.0828,106.812,170.8992,25809533.299999997,3097143995.9999995,SMP
Senapelan,17,4,2028-01-01,1627,1049415.0,322.8969,50.3719,54.1634,86.0176,209.883,11.8712,104.9415,167.9064,25357547.8,3042905736.0,SMP
